# omega0=1, alpha=0.20
# theta0=-0.80, theta_dot0=0.12
# t_start=0.00, t_end=150.00, h=0.01
#   t          x(t)                 v(t)       
9.481897827198479e+00 -9.212188748818631e+00 -1.043140123950529e+00
9.596137560056293e+00 -9.325972836144636e+00 -9.504485076235860e-01
9.710377292914108e+00 -9.429685638132623e+00 -8.666563738986853e-01
9.824617025771923e+00 -9.524287089949636e+00 -7.907716663466643e-01
9.938856758629738e+00 -9.610625228731498e+00 -7.218353476235446e-01
1.005309649148755e+01 -9.689442264892088e+00 -6.589582955186016e-01
1.016733622434537e+01 -9.761383848173731e+00 -6.013414128710858e-01
1.028157595720318e+01 -9.827009944982835e+00 -5.482845111618890e-01
1.039581569006100e+01 -9.886806285391730e+00 -4.991879513051942e-01
1.051005542291881e+01 -9.941195720002293e+00 -4.535498004568074e-01
1.062429515577663e+01 -9.990549087738405e+00 -4.109603624074909e-01
1.073853488863444e+01 -1.003519536921232e+01 -3.710953013233903e-01
1.085277462149226e+01 -1.007543101304030e+01 -3.337081411464201e-01
1.096701435435007e+01 -1.011152839402778e+01 -2.986226312072425e-01
1.108125408720789e+01 -1.014374340656774e+01 -2.657252792818217e-01
1.119549382006570e+01 -1.017232222365022e+01 -2.349582339569178e-01
1.130973355292352e+01 -1.019750726813574e+01 -2.063126251599624e-01
1.142397328578133e+01 -1.021954245268278e+01 -1.798224283032106e-01
1.153821301863915e+01 -1.023867775061435e+01 -1.555588920240220e-01
1.165245275149696e+01 -1.025517316362500e+01 -1.336255539976380e-01
1.176669248435478e+01 -1.026930215437970e+01 -1.141538584253746e-01
1.188093221721259e+01 -1.028135461305693e+01 -9.729937910354973e-02
1.199517195007041e+01 -1.029163942674175e+01 -8.323864131023273e-02
1.210941168292822e+01 -1.030048671909046e+01 -7.216652285118061e-02
1.222365141578604e+01 -1.030824982456946e+01 -6.429419879313890e-02
1.233789114864385e+01 -1.031530705645956e+01 -5.984757529886579e-02
1.245213088150166e+01 -1.032206332031989e+01 -5.906613526648821e-02
1.256637061435948e+01 -1.032895161428956e+01 -6.220209175780256e-02
1.268061034721729e+01 -1.033643444397717e+01 -6.951971377718356e-02
1.279485008007511e+01 -1.034500516214926e+01 -8.129465168575678e-02
1.290908981293292e+01 -1.035518922121824e+01 -9.781304467775545e-02
1.302332954579074e+01 -1.036754529865168e+01 -1.193701379391118e-01
1.313756927864855e+01 -1.038266622057922e+01 -1.462680693973824e-01
1.325180901150637e+01 -1.040117956539921e+01 -1.788124020871693e-01
1.336604874436418e+01 -1.042374777506178e+01 -2.173068751568930e-01
1.348028847722200e+01 -1.045106753464374e+01 -2.620457230841175e-01
1.359452821007981e+01 -1.048386809858747e+01 -3.133027712202942e-01
1.370876794293763e+01 -1.052290814296863e+01 -3.713163662937349e-01
1.382300767579544e+01 -1.056897060762339e+01 -4.362690659511398e-01
1.393724740865326e+01 -1.062285486387650e+01 -5.082609357174040e-01
1.405148714151107e+01 -1.068536541361366e+01 -5.872753596368846e-01
1.416572687436889e+01 -1.075729621497801e+01 -6.731365781310089e-01
1.427996660722670e+01 -1.083940967638329e+01 -7.654588860075215e-01
1.439420634008452e+01 -1.093240942216250e+01 -8.635887566810694e-01
1.450844607294233e+01 -1.103690619199194e+01 -9.665433079044471e-01
1.462268580580015e+01 -1.115337679345388e+01 -1.072951603593722e+00
1.473692553865796e+01 -1.128211698470945e+01 -1.181009162953512e+00
1.485116527151578e+01 -1.142319058470385e+01 -1.288460123493402e+00
1.496540500437359e+01 -1.157637894862788e+01 -1.392624504245993e+00
1.507964473723141e+01 -1.174113697623001e+01 -1.490487957273883e+00
1.519388447008922e+01 -1.191656355902402e+01 -1.578865988813733e+00
1.530812420294704e+01 -1.210139510529135e+01 -1.654642310210408e+00
1.542236393580485e+01 -1.229402972945137e+01 -1.715062430659759e+00
1.553660366866267e+01 -1.249258634766341e+01 -1.758043034041621e+00
1.565084340152048e+01 -1.269499745691506e+01 -1.782442547534266e+00
1.576508313437830e+01 -1.289912788301781e+01 -1.788236612908186e+00
1.587932286723611e+01 -1.310290609215735e+01 -1.776558023557745e+00
1.599356260009393e+01 -1.330445166551625e+01 -1.749590814912012e+00
1.610780233295172e+01 -1.350218333170286e+01 -1.710342346133532e+00
1.622204206580952e+01 -1.369489627939591e+01 -1.662343015511690e+00
1.633628179866732e+01 -1.388180384649264e+01 -1.609332508845348e+00
1.645052153152512e+01 -1.406254510756431e+01 -1.554983692541936e+00
1.656476126438291e+01 -1.423716471282628e+01 -1.502696494710619e+00
1.667900099724071e+01 -1.440607379442724e+01 -1.455472764179833e+00
1.679324073009851e+01 -1.457000096260009e+01 -1.415865770438490e+00
1.690748046295630e+01 -1.472994102918539e+01 -1.385987646553533e+00
1.702172019581410e+01 -1.488710692076494e+01 -1.367554350172700e+00
1.713595992867190e+01 -1.504288792538604e+01 -1.361948529693196e+00
1.725019966152970e+01 -1.519881533422905e+01 -1.370283622484853e+00
1.736443939438749e+01 -1.535653482100430e+01 -1.393455696588473e+00
1.747867912724529e+01 -1.551778350532087e+01 -1.432171883377624e+00
1.759291886010309e+01 -1.568436844791756e+01 -1.486945376509934e+00
1.770715859296088e+01 -1.585814219664228e+01 -1.558047150098174e+00
1.782139832581868e+01 -1.604096987686114e+01 -1.645404636288218e+00
1.793563805867648e+01 -1.623468127125865e+01 -1.748439191669191e+00
1.804987779153427e+01 -1.644100066780815e+01 -1.865839793544218e+00
1.816411752439207e+01 -1.666144761951872e+01 -1.995283467964217e+00
1.827835725724987e+01 -1.689720421384595e+01 -2.133136960211256e+00
1.839259699010767e+01 -1.714895034550506e+01 -2.274210144799262e+00
1.850683672296546e+01 -1.741667893150443e+01 -2.411673345921025e+00
1.862107645582326e+01 -1.769951768962135e+01 -2.537278724124288e+00
1.873531618868106e+01 -1.799559965545335e+01 -2.642006867901020e+00
1.884955592153885e+01 -1.830203363960231e+01 -2.717160463656722e+00
1.896379565439665e+01 -1.861501865612231e+01 -2.755747570730035e+00
