# Ising model in 2dimensions at kT = 0
#  time     energy  
      0     -300.000
      1     -424.000
      2     -460.000
      3     -522.000
      4     -554.000
      5     -604.000
      6     -620.000
      7     -630.000
      8     -638.000
      9     -652.000
     10     -658.000
     11     -664.000
     12     -666.000
     13     -668.000
     14     -668.000
     15     -674.000
     16     -674.000
     17     -674.000
     18     -678.000
     19     -682.000
     20     -682.000
     21     -682.000
     22     -682.000
     23     -682.000
     24     -682.000
     25     -682.000
     26     -682.000
     27     -682.000
     28     -684.000
     29     -686.000
     30     -686.000
     31     -686.000
     32     -686.000
     33     -686.000
     34     -686.000
     35     -686.000
     36     -688.000
     37     -688.000
     38     -688.000
     39     -688.000
     40     -688.000
     41     -688.000
     42     -690.000
     43     -690.000
     44     -690.000
     45     -690.000
     46     -690.000
     47     -690.000
     48     -690.000
     49     -690.000
     50     -690.000
     51     -690.000
     52     -690.000
     53     -690.000
     54     -690.000
     55     -690.000
     56     -690.000
     57     -690.000
     58     -692.000
     59     -694.000
     60     -694.000
     61     -694.000
     62     -694.000
     63     -694.000
     64     -694.000
     65     -694.000
     66     -694.000
     67     -694.000
     68     -694.000
     69     -694.000
     70     -694.000
     71     -694.000
     72     -694.000
     73     -694.000
     74     -696.000
     75     -696.000
     76     -696.000
     77     -696.000
     78     -696.000
     79     -696.000
     80     -696.000
     81     -698.000
     82     -698.000
     83     -698.000
     84     -698.000
     85     -700.000
     86     -700.000
     87     -702.000
     88     -706.000
     89     -706.000
     90     -706.000
     91     -708.000
     92     -708.000
     93     -708.000
     94     -708.000
     95     -708.000
     96     -708.000
     97     -708.000
     98     -710.000
     99     -710.000
    100     -710.000
    110     -722.000
    120     -722.000
    130     -722.000
    140     -722.000
    150     -722.000
    160     -722.000
    170     -722.000
    180     -722.000
    190     -722.000
    200     -722.000
    210     -722.000
    220     -722.000
    230     -722.000
    240     -722.000
    250     -722.000
    260     -722.000
    270     -722.000
    280     -722.000
    290     -722.000
    300     -722.000
    310     -722.000
    320     -722.000
    330     -722.000
    340     -722.000
    350     -722.000
    360     -722.000
    370     -722.000
    380     -722.000
    390     -722.000
    400     -722.000
    410     -722.000
    420     -722.000
    430     -722.000
    440     -722.000
    450     -722.000
    460     -722.000
    470     -722.000
    480     -722.000
    490     -722.000
    500     -722.000
    510     -722.000
    520     -722.000
    530     -722.000
    540     -722.000
    550     -722.000
    560     -722.000
    570     -722.000
    580     -722.000
    590     -722.000
    600     -722.000
    610     -722.000
    620     -722.000
    630     -722.000
    640     -722.000
    650     -722.000
    660     -722.000
    670     -722.000
    680     -722.000
    690     -722.000
    700     -722.000
    710     -722.000
    720     -722.000
    730     -722.000
    740     -722.000
    750     -722.000
    760     -722.000
    770     -722.000
    780     -722.000
    790     -722.000
    800     -722.000
    810     -722.000
    820     -722.000
    830     -722.000
    840     -722.000
    850     -722.000
    860     -722.000
    870     -722.000
    880     -722.000
    890     -722.000
    900     -722.000
    910     -722.000
    920     -722.000
    930     -722.000
    940     -722.000
    950     -722.000
    960     -722.000
    970     -722.000
    980     -722.000
    990     -722.000
