# m=1, k=39.4784, p=2
# x0=0, v0=1
# t_start=0, t_end=25, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
0.4400  2.416852185981150e-02  -5.326429251050918e-02  1.418542428322542e-03  1.153001628859987e-02
0.4500  2.364141564888083e-02  -5.215910808411179e-02  1.360286278065028e-03  1.103257016530945e-02
0.4600  2.312529376963797e-02  -5.106768985139575e-02  1.303954473379174e-03  1.055611852739145e-02
0.4700  2.262001123511969e-02  -4.999144635720365e-02  1.249572354442585e-03  1.009986046122616e-02
0.4800  2.212541056840560e-02  -4.893147654145746e-02  1.197144698263601e-03  9.663009752206622e-03
0.4900  2.164132462994806e-02  -4.788862193017236e-02  1.146660055185493e-03  9.244797877451846e-03
0.5000  2.116757896695668e-02  -4.686351028659762e-02  1.098094298191020e-03  8.844476213464195e-03
0.5100  2.070399376307069e-02  -4.585659211436361e-02  1.051413520171557e-03  8.461317610627545e-03
0.5200  2.025038545380075e-02  -4.486817117777713e-02  1.006576392419155e-03  8.094617458774945e-03
0.5300  1.980656806254771e-02  -4.389843001460275e-02  9.635360788734879e-04  7.743694345323651e-03
0.5400  1.937235430307025e-02  -4.294745125778104e-02  9.222417847697390e-04  7.407890388814359e-03
0.5500  1.894755648679339e-02  -4.201523544952811e-02  8.826400049396417e-04  7.086571315383081e-03
0.5600  1.853198726708921e-02  -4.110171591991989e-02  8.446755257808982e-04  6.779126333144219e-03
0.5700  1.812546024741906e-02  -4.020677120886026e-02  8.082922255208170e-04  6.484967849181130e-03
0.5800  1.772779047583999e-02  -3.933023543230901e-02  7.734337095804274e-04  6.203531065421966e-03
0.5900  1.733879484470510e-02  -3.847190692833333e-02  7.400438113511709e-04  5.934273482789239e-03
0.6000  1.695829241131355e-02  -3.763155546387112e-02  7.080669833152041e-04  5.676674337378069e-03
0.6100  1.658610465269282e-02  -3.680892823732684e-02  6.774485989903388e-04  5.430233987813902e-03
0.6200  1.622205566554145e-02  -3.600375487380747e-02  6.481351825066076e-04  5.194473269180491e-03
0.6300  1.586597232055801e-02  -3.521575157773447e-02  6.200745795923541e-04  4.968932825840503e-03
0.6400  1.551768437887247e-02  -3.444462458071974e-02  5.932160812533612e-04  4.753172432969550e-03
0.6500  1.517702457703331e-02  -3.369007300011979e-02  5.675105093767001e-04  4.546770314586474e-03
0.6600  1.484382868594623e-02  -3.295179120486923e-02  5.429102718046484e-04  4.349322464204806e-03
0.6700  1.451793554827530e-02  -3.222947076944615e-02  5.193693930392919e-04  4.160441972882828e-03
0.6800  1.419918709807702e-02  -3.152280208363935e-02  4.968435256021486e-04  3.979758368356642e-03
0.6900  1.388742836581761e-02  -3.083147567475169e-02  4.752899461414025e-04  3.806916968054987e-03
0.7000  1.358250747140510e-02  -3.015518328963687e-02  4.546675396157972e-04  3.641578248078958e-03
0.7100  1.328427560743386e-02  -2.949361877623392e-02  4.349367742589090e-04  3.483417229652698e-03
0.7200  1.299258701447548e-02  -2.884647879779119e-02  4.160596695157082e-04  3.332122884087183e-03
0.7300  1.270729894994629e-02  -2.821346340755323e-02  3.979997587246726e-04  3.187397556927719e-03
0.7400  1.242827165182720e-02  -2.759427650714893e-02  3.807220479764956e-04  3.048956411659379e-03
0.7500  1.215536829829866e-02  -2.698862620812243e-02  3.641929723008765e-04  2.916526893109537e-03
0.7600  1.188845496417574e-02  -2.639622511287115e-02  3.483803501046848e-04  2.789848210501495e-03
0.7700  1.162740057487903e-02  -2.581679052859479e-02  3.332533365986708e-04  2.668670839968441e-03
0.7800  1.137207685855286e-02  -2.525004462563321e-02  3.187823767982344e-04  2.552756046225153e-03
0.7900  1.112235829683779e-02  -2.469571454970744e-02  3.049391585603159e-04  2.441875423009659e-03
0.8000  1.087812207471747e-02  -2.415353249601813e-02  2.916965660181018e-04  2.335810451843338e-03
0.8100  1.063924802978702e-02  -2.362323575185065e-02  2.790286336937573e-04  2.234352078611690e-03
0.8200  1.040561860122936e-02  -2.310456671324312e-02  2.669105015033510e-04  2.137300307435536e-03
0.8300  1.017711877873470e-02  -2.259727288035933e-02  2.553183708147117e-04  2.044463811281325e-03
0.8400  9.953636051556500e-03  -2.210110683544333e-02  2.442294616758399e-04  1.955659558746926e-03
0.8500  9.735060357861171e-03  -2.161582620659182e-02  2.336219712967910e-04  1.870712456454154e-03
0.8600  9.521284034499519e-03  -2.114119362004492e-02  2.234750338401141e-04  1.789455006479704e-03
0.8700  9.312201767303145e-03  -2.067697664324703e-02  2.137686815526916e-04  1.711726978261009e-03
0.8800  9.107710541988457e-03  -2.022294772055465e-02  2.044838072541432e-04  1.637375094421741e-03
0.8900  8.907709595733677e-03  -1.977888410315402e-02  1.956021281829993e-04  1.566252729972452e-03
0.9000  8.712100369480176e-03  -1.934456777448883e-02  1.871061511908959e-04  1.498219624354664e-03
0.9100  8.520786460997347e-03  -1.891978537227858e-02  1.789791392665433e-04  1.433141605810804e-03
0.9200  8.333673578740562e-03  -1.850432810802457e-02  1.712050793647140e-04  1.370890327577624e-03
0.9300  8.150669496523471e-03  -1.809799168474685e-02  1.637686515105830e-04  1.311343015416541e-03
0.9400  7.971684009019157e-03  -1.770057621356714e-02  1.566551991461495e-04  1.254382226010590e-03
0.9500  7.796628888099089e-03  -1.731188612964511e-02  1.498507006828994e-04  1.199895615774089e-03
0.9600  7.625417840014173e-03  -1.693173010788604e-02  1.433417422231473e-04  1.147775719637552e-03
0.9700  7.457966463418396e-03  -1.655992097876284e-02  1.371154914114348e-04  1.097919739386695e-03
0.9800  7.294192208232509e-03  -1.619627564453270e-02  1.311596723768416e-04  1.050229341150485e-03
0.9900  7.134014335342579e-03  -1.584061499607664e-02  1.254625417269641e-04  1.004610461648948e-03
1.0000  6.977353877126259e-03  -1.549276383054636e-02  1.200128655545427e-04  9.609731228269249e-04
1.0100  6.824133598797924e-03  -1.515255076996675e-02  1.147998974182100e-04  9.192312545149463e-04
1.0200  6.674277960562486e-03  -1.481980818091199e-02  1.098133572595129e-04  8.793025247730384e-04
1.0300  6.527713080566700e-03  -1.449437209534776e-02  1.050434112191979e-04  8.411081775873821e-04
1.0400  6.384366698635906e-03  -1.417608213271160e-02  1.004806523166925e-04  8.045728776034397e-04
1.0500  6.244168140783536e-03  -1.386478142328544e-02  9.611608195774053e-05  7.696245615923505e-04
1.0600  6.107048284480277e-03  -1.356031653290035e-02  9.194109223622524e-05  7.361942963601361e-04
1.0700  5.972939524669396e-03  -1.326253738900118e-02  8.794744899732714e-05  7.042161428214979e-04
1.0800  5.841775740514542e-03  -1.297129720808925e-02  8.412727563029192e-05  6.736270259717788e-04
1.0900  5.713492262866184e-03  -1.268645242455257e-02  8.047303756021783e-05  6.443666105019963e-04
1.1000  5.588025842432811e-03  -1.240786262088689e-02  7.697752740940102e-05  6.163771818127262e-04
1.1100  5.465314618642946e-03  -1.213539045930490e-02  7.363385079989414e-05  5.896035321930652e-04
1.1200  5.345298089184184e-03  -1.186890161472663e-02  7.043541277003022e-05  5.639928519409239e-04
1.1300  5.227917080205446e-03  -1.160826470914041e-02  6.737590477873736e-05  5.394946252105040e-04
1.1400  5.113113717168833e-03  -1.135335124732062e-02  6.444929227251831e-05  5.160605303820326e-04
1.1500  5.000831396337581e-03  -1.110403555388637e-02  6.164980279098624e-05  4.936443447576500e-04
1.1600  4.891014756886800e-03  -1.086019471168307e-02  5.897191458783450e-05  4.722018533958076e-04
1.1700  4.783609653623865e-03  -1.062170850146756e-02  5.641034574507409e-05  4.516907619046337e-04
1.1800  4.678563130305520e-03  -1.038845934287613e-02  5.396004375929519e-05  4.320706130224822e-04
1.1900  4.575823393538980e-03  -1.016033223665426e-02  5.161617557959784e-05  4.133027068213093e-04
1.2000  4.475339787254513e-03  -9.937214708125719e-03  4.937411807769506e-05  3.953500243756360e-04
1.2100  4.377062767737235e-03  -9.718996751878872e-03  4.722944893151604e-05  3.781771547466596e-04
1.2200  4.280943879206044e-03  -9.505570777647123e-03  4.517793790442947e-05  3.617502251375958e-04
1.2300  4.186935729927876e-03  -9.296831557360864e-03  4.321553850297042e-05  3.460368340825711e-04
1.2400  4.094991968855687e-03  -9.092676173347764e-03  4.133837999668307e-05  3.310059875373494e-04
1.2500  4.005067262778771e-03  -8.893003967658681e-03  3.954275978439652e-05  3.166280377458909e-04
1.2600  3.917117273974299e-03  -8.697716492496297e-03  3.782513609192104e-05  3.028746247622067e-04
1.2700  3.831098638349148e-03  -8.506717461723958e-03  3.618212098679965e-05  2.897186205122001e-04
1.2800  3.746968944061332e-03  -8.319912703432374e-03  3.461047369636770e-05  2.771340752851898e-04
1.2900  3.664686710610568e-03  -8.137210113542022e-03  3.310709421596528e-05  2.650961665495963e-04
1.3000  3.584211368387736e-03  -7.958519610419551e-03  3.166901719471628e-05  2.535811499918533e-04
1.3100  3.505503238673190e-03  -7.783753090486649e-03  3.029340608683023e-05  2.425663126819881e-04
1.3200  3.428523514074107e-03  -7.612824384800313e-03  2.897754755690513e-05  2.320299282735036e-04
1.3300  3.353234239391262e-03  -7.445649216583678e-03  2.771884612820657e-05  2.219512141492084e-04
1.3400  3.279598292905829e-03  -7.282145159687072e-03  2.651481906337693e-05  2.123102904284757e-04
1.3500  3.207579368077005e-03  -7.122231597959229e-03  2.536309146748444e-05  2.030881407550815e-04
1.3600  3.137141955641447e-03  -6.965829685508990e-03  2.426139160375914e-05  1.942665747882841e-04
1.3700  3.068251326105730e-03  -6.812862307838240e-03  2.320754641278150e-05  1.858281923231658e-04
1.3800  3.000873512623189e-03  -6.663254043827171e-03  2.219947722628958e-05  1.777563489694672e-04
1.3900  2.934975294246727e-03  -6.516931128553330e-03  2.123519566715369e-05  1.700351233212243e-04
1.4000  2.870524179549345e-03  -6.373821416926328e-03  2.031279972743437e-05  1.626492855524505e-04
1.4100  2.807488390604310e-03  -6.233854348120426e-03  1.943047001678997e-05  1.555842673769246e-04
1.4200  2.745836847317092e-03  -6.096960910787582e-03  1.858646617383587e-05  1.488261333128324e-04
1.4300  2.685539152101330e-03  -5.963073609033921e-03  1.777912343337841e-05  1.423615531955845e-04
1.4400  2.626565574891289e-03  -5.832126429142949e-03  1.700684934275385e-05  1.361777758845935e-04
1.4500  2.568887038483427e-03  -5.704054807029164e-03  1.626812062079626e-05  1.302626041121501e-04
1.4600  2.512475104199825e-03  -5.578795596406094e-03  1.556148015324001e-05  1.246043704247882e-04
1.4700  2.457301957866443e-03  -5.456287037653122e-03  1.488553411863074e-05  1.191919141696859e-04
1.4800  2.403340396099272e-03  -5.336468727365768e-03  1.423894923907641e-05  1.140145594807095e-04
1.4900  2.350563812891632e-03  -5.219281588574491e-03  1.362045015041633e-05  1.090620942206783e-04
1.5000  2.298946186495995e-03  -5.104667841617320e-03  1.302881688662102e-05  1.043247498383159e-04
1.5100  2.248462066593877e-03  -4.992570975651999e-03  1.246288247346138e-05  9.979318210015653e-05
1.5200  2.199086561747467e-03  -4.882935720793620e-03  1.192153062670115e-05  9.545845265940119e-05
1.5300  2.150795327126815e-03  -4.775708020864024e-03  1.140369355027249e-05  9.131201142536930e-05
1.5400  2.103564552506514e-03  -4.670835006739542e-03  1.090834983009179e-05  8.734567969876972e-05
1.5500  2.057370950525972e-03  -4.568264970283958e-03  1.043452241936175e-05  8.355163403952671e-05
1.5600  2.012191745207490e-03  -4.467947338853843e-03  9.981276711385571e-06  7.992239083534148e-05
1.5700  1.968004660726459e-03  -4.369832650363709e-03  9.547718696092358e-06  7.645079154054981e-05
1.5800  1.924787910428178e-03  -4.273872528898688e-03  9.132993196637435e-06  7.312998855616192e-05
1.5900  1.882520186085842e-03  -4.180019660862717e-03  8.736282182599431e-06  6.995343172323220e-05
1.6000  1.841180647394430e-03  -4.088227771650476e-03  8.356803156447108e-06  6.691485540291808e-05
1.6100  1.800748911695293e-03  -3.998451602831597e-03  7.993807610093285e-06  6.400826611774400e-05
1.6200  1.761205043926401e-03  -3.910646889835868e-03  7.646579548491475e-06  6.122793072969330e-05
1.6300  1.722529546793257e-03  -3.824770340128454e-03  7.314434077363163e-06  5.856836513180952e-05
1.6400  1.684703351155675e-03  -3.740779611864372e-03  6.996716052270079e-06  5.602432343100244e-05
1.6500  1.647707806625651e-03  -3.658633293011702e-03  6.692798786366825e-06  5.359078760072153e-05
1.6600  1.611524672371695e-03  -3.578290880933227e-03  6.402082814284945e-06  5.126295758308764e-05
1.6700  1.576136108125111e-03  -3.499712762416457e-03  6.123994709710313e-06  4.903624182095972e-05
1.6800  1.541524665383765e-03  -3.422860194142173e-03  5.857985954321496e-06  4.690624820126115e-05
1.6900  1.507673278809019e-03  -3.347695283581878e-03  5.603531855858176e-06  4.486877539170233e-05
1.7000  1.474565257811585e-03  -3.274180970314727e-03  5.360130513185543e-06  4.291980455381065e-05
1.7100  1.442184278322150e-03  -3.202281007754722e-03  5.127301826313299e-06  4.105549141592304e-05
1.7200  1.410514374742715e-03  -3.131959945279180e-03  4.904586549416581e-06  3.927215869050479e-05
1.7300  1.379539932074686e-03  -3.063183110749647e-03  4.691545384990941e-06  3.756628882083832e-05
1.7400  1.349245678219816e-03  -2.995916593416637e-03  4.487758117354575e-06  3.593451704277480e-05
1.7500  1.319616676450231e-03  -2.930127227199794e-03  4.292822783788777e-06  3.437362474786371e-05
1.7600  1.290638318043800e-03  -2.865782574335196e-03  4.106354881681633e-06  3.288053313476858e-05
1.7700  1.262296315081239e-03  -2.802850909381767e-03  3.927986610111099e-06  3.145229713644727e-05
1.7800  1.234576693401379e-03  -2.741301203578907e-03  3.757366144371581e-06  3.008609961111810e-05
1.7900  1.207465785711142e-03  -2.681103109547606e-03  3.594156942012921e-06  2.877924578555361e-05
1.8000  1.180950224846817e-03  -2.622226946327538e-03  3.438037079023123e-06  2.752915793974174e-05
1.8100  1.155016937183311e-03  -2.564643684742718e-03  3.288698614845352e-06  2.633337032243013e-05
1.8200  1.129653136188141e-03  -2.508324933088525e-03  3.145846984976778e-06  2.518952428752459e-05
1.8300  1.104846316116971e-03  -2.453242923133050e-03  3.009200419951196e-06  2.409536364174826e-05
1.8400  1.080584245847592e-03  -2.399370496425825e-03  2.878489389559355e-06  2.304873019438537e-05
1.8500  1.056854962849309e-03  -2.346681090907226e-03  2.753456071210764e-06  2.204755950033123e-05
1.8600  1.033646767284762e-03  -2.295148727811921e-03  2.633853841388341e-06  2.108987678805185e-05
1.8700  1.010948216241260e-03  -2.244747998859918e-03  2.519446789192803e-06  2.017379306442152e-05
